AB-flat,AB-hill,AA-flat,AA-hill,BB-hill,BB-flat,round
0,0,0,0,0,0,0
0,0,0,0,0,0,10
6.33,5.73,5.34,5.32,5.17,5.21,20
7.13,5.99,7.12,6.2,5.82,5.92,30
8.98,6.57,13.08,7.03,7.08,6.74,40
13.87,8.02,24.95,11.28,7.9,8.72,50
22.53,10.53,36.02,14.14,11.43,23.01,60
29.34,14.24,36.13,13.31,10.16,19.39,70
28.04,15.01,41.07,15.93,15.63,26.87,80
30.0,16.83,39.77,15.64,17.21,33.62,90
37.56,20.56,40.59,14.22,16.64,34.89,100
32.9,17.59,41.52,15.7,19.96,34.48,110
36.69,18.85,42.22,17.68,22.77,34.97,120
34.72,19.14,54.3,19.93,24.61,37.98,130
39.57,21.51,48.57,21.11,23.75,37.86,140
40.28,21.79,50.43,19.51,23.53,40.67,150
39.78,20.84,48.73,22.87,23.46,38.19,160
44.04,22.77,48.37,18.98,24.54,41.86,170
42.11,20.0,47.95,19.81,22.08,40.29,180
41.45,21.37,46.48,16.14,24.16,41.59,190
44.07,23.76,55.79,19.67,25.04,43.89,200
42.52,22.06,49.88,22.45,20.61,37.63,210
44.05,21.39,50.55,18.81,23.27,38.33,220
40.46,19.44,51.4,23.1,22.86,40.85,230
45.57,22.24,57.67,19.87,23.3,43.89,240
41.01,21.19,44.21,18.89,23.42,45.2,250
47.53,21.82,52.92,18.37,23.43,42.38,260
48.9,23.18,56.1,20.31,19.6,41.18,270
50.56,22.19,56.13,22.35,20.8,40.67,280
46.78,19.58,50.13,19.43,23.46,46.7,290
50.23,22.14,56.18,22.33,24.58,51.79,300
